# t dx dy dz
4.000000000000035818e-10 0.000000000000000000e+00 1.769998600000000977e+00 1.770000500000000088e+00
2.500000000000002534e-09 -1.770000500000000088e+00 1.770001400000001723e+00 0.000000000000000000e+00
1.000000000000075129e-10 1.770000500000000088e+00 0.000000000000000000e+00 1.770002400000000975e+00
9.999999999999957196e-10 0.000000000000000000e+00 -1.770001399999998171e+00 1.769998600000000977e+00
4.199999999999997904e-09 1.769998600000000977e+00 0.000000000000000000e+00 -1.769998600000000977e+00
4.000000000000035818e-10 0.000000000000000000e+00 -1.769998600000000977e+00 1.769998600000000977e+00
1.599999999999987857e-09 0.000000000000000000e+00 -1.769999500000000836e+00 -1.769998600000000977e+00
2.600000000000010047e-09 1.770000500000000088e+00 0.000000000000000000e+00 1.769998600000000977e+00
5.999999999999921378e-10 0.000000000000000000e+00 -1.770000499999998311e+00 -1.769998600000000977e+00
4.000000000000035818e-10 0.000000000000000000e+00 -1.770000500000000088e+00 1.770000100000000742e+00
2.000000000000150258e-10 -1.769998600000000977e+00 0.000000000000000000e+00 -1.770000100000000742e+00
1.699999999999995370e-09 1.769998600000000977e+00 0.000000000000000000e+00 1.770000100000000742e+00
8.999999999999882067e-10 -1.769998600000000977e+00 -1.769999999999999574e+00 0.000000000000000000e+00
1.000000000000075129e-10 0.000000000000000000e+00 1.769999999999999574e+00 1.769999999999999574e+00
1.000000000000075129e-10 0.000000000000000000e+00 -1.769999999999999574e+00 -1.769999999999999574e+00
4.680000000000000382e-09 0.000000000000000000e+00 0.000000000000000000e+00 3.540000000000000036e+00
1.446999999999999656e-09 -1.770000000000000018e+00 1.770000500000000088e+00 0.000000000000000000e+00
1.300000000000000060e-09 0.000000000000000000e+00 1.769998600000000089e+00 1.770001399999999947e+00
8.390000000000001013e-10 1.770000000000000018e+00 0.000000000000000000e+00 1.770000500000000088e+00
2.796000000000000685e-09 0.000000000000000000e+00 -3.539999100000000176e+00 3.539999100000000176e+00
1.396999999999999208e-09 1.770000500000000088e+00 3.539999100000000176e+00 -1.769998600000000089e+00
2.120000000000000124e-09 -1.770000500000000088e+00 0.000000000000000000e+00 1.769998600000000089e+00
7.599999999999998571e-10 -1.770000000000000018e+00 3.539999100000000176e+00 1.769998600000000089e+00
8.200000000000000635e-10 -3.540000000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.689999999999998920e-09 -3.540000000000000480e+00 -1.770000500000000088e+00 1.770000500000000088e+00
1.059999999999999235e-09 -3.540000100000000316e+00 -1.769998600000000089e+00 1.770000500000000088e+00
2.900000000000012733e-10 -3.539998699999999943e+00 -1.769998600000000089e+00 -1.770000500000000088e+00
1.159999999999998476e-09 3.539998699999999943e+00 0.000000000000000000e+00 3.540002899999999286e+00
2.170000000000002226e-09 3.540000099999999872e+00 0.000000000000000000e+00 3.540001000000000175e+00
1.680000000000002470e-09 0.000000000000000000e+00 0.000000000000000000e+00 3.539998700000001719e+00
1.719999999999998196e-09 -1.770000000000000018e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.970000000000000435e-09 -1.770000099999999854e+00 -1.769998600000000089e+00 3.540000100000000316e+00
9.400000000000004763e-10 -3.539998699999999943e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.349999999999998854e-09 -1.769998600000000089e+00 1.769998600000000089e+00 -3.540000100000000316e+00
5.289999999999999724e-09 -1.770002399999999199e+00 0.000000000000000000e+00 -1.770000100000000742e+00
4.920000000000000381e-09 -1.770002399999999199e+00 0.000000000000000000e+00 1.770000100000000742e+00
6.700000000000020290e-10 0.000000000000000000e+00 3.539999100000000176e+00 3.540000100000000316e+00
2.219999999999999365e-09 -1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.959999999999999022e-09 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769999999999999574e+00
2.049999999999998504e-09 1.770000500000000088e+00 1.770000500000000088e+00 0.000000000000000000e+00
2.659999999999998673e-09 0.000000000000000000e+00 0.000000000000000000e+00 3.539999999999999147e+00
2.920000000000002324e-09 3.540002899999999286e+00 1.770002400000000087e+00 -1.769999999999999574e+00
4.180000000000001695e-09 0.000000000000000000e+00 1.770002400000000087e+00 -1.769999999999999574e+00
3.410000000000002080e-09 -1.770002399999999199e+00 1.769998600000000977e+00 -3.540000100000000316e+00
1.609999999999999197e-09 0.000000000000000000e+00 8.881784197001252323e-16 0.000000000000000000e+00
8.600000000000024069e-10 -1.770000500000000088e+00 1.769998600000000089e+00 -3.539998700000001719e+00
1.830000000000003814e-09 -3.539999099999999288e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000001092e-09 -3.539999099999999288e+00 0.000000000000000000e+00 3.539998700000001719e+00
