# n msd err cf err var err
1.600000000000000000e+01 1.305687745558325297e+01 3.032385862288262124e-01 2.873026426476519846e-01 1.054164436900639730e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.700000000000000000e+01 1.391830730578532638e+01 3.235940719216786610e-01 2.882423401667291718e-01 1.129943711179323066e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.800000000000000000e+01 1.411399304078993033e+01 3.284989990729201281e-01 2.760563040162791748e-01 1.151671459313605459e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.900000000000000000e+01 1.494384860555630112e+01 3.481910840670269791e-01 2.769039388383967570e-01 1.225146466359005324e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.000000000000000000e+01 1.519522430958661730e+01 3.544331723712911830e-01 2.674837449991562255e-01 1.251247237682469988e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.100000000000000000e+01 1.589686679534180946e+01 3.712033350885055594e-01 2.665093902774435253e-01 1.314443183286917048e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.200000000000000000e+01 1.617094527396474035e+01 3.780157216593231784e-01 2.587813664902341992e-01 1.342332761611983341e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.300000000000000000e+01 1.685245319133782971e+01 3.943780569310827433e-01 2.579619010381293820e-01 1.404093891353176682e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.400000000000000000e+01 1.707328100009631910e+01 3.999841682571188550e-01 2.504528752084905774e-01 1.427523254522138757e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.500000000000000000e+01 1.772217664226966249e+01 4.156426657592487417e-01 2.495728437424994117e-01 1.486793895972993314e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.600000000000000000e+01 1.794945064732050710e+01 4.214368623696129745e-01 2.430513785122790926e-01 1.510756955168268841e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.700000000000000000e+01 1.846127257616179662e+01 4.339326685628154268e-01 2.407233096064634870e-01 1.558704353344721487e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.800000000000000000e+01 1.866476122767035051e+01 4.392012480175960798e-01 2.346846487974960649e-01 1.580657956435566123e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.900000000000000000e+01 1.918918405470069644e+01 4.520423407709848185e-01 2.329586204579204844e-01 1.629839840793880813e-04 2.840401443765218303e+00 6.492452157261850709e-02
