# n msd err cf err var err
4.200000000000000000e+01 1.004709298103348232e+02 2.397949344292251705e+00 8.421925713124280843e-01 8.502608839982016059e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.300000000000000000e+01 1.021927689551834249e+02 2.441479689576826040e+00 8.367042720071264927e-01 8.646569588187674347e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.400000000000000000e+01 1.039119560954436992e+02 2.485036099330077075e+00 8.314442210235498676e-01 8.790922521889135699e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.500000000000000000e+01 1.056224141261284615e+02 2.528473311508228516e+00 8.263496568453447821e-01 8.935144341949791081e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.600000000000000000e+01 1.073142826174104698e+02 2.571554821993981665e+00 8.213343196455030748e-01 9.078392587868562222e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.700000000000000000e+01 1.089810699703548380e+02 2.614123982438487204e+00 8.163445257612256256e-01 9.220110182290234668e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.800000000000000000e+01 1.105958152928514835e+02 2.655532019881088779e+00 8.111809301904402414e-01 9.358008009435476830e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.900000000000000000e+01 1.121924474625326127e+02 2.696591046895305599e+00 8.060979513918675732e-01 9.494948384627698631e-04 2.840401443765218303e+00 6.492452157261850709e-02
5.000000000000000000e+01 1.138538186942228663e+02 2.739293541475907201e+00 8.016741361974450975e-01 9.637937221042683139e-04 2.840401443765218303e+00 6.492452157261850709e-02
5.100000000000000000e+01 1.154604225739771550e+02 2.780766429945641605e+00 7.970457342785525201e-01 9.776853889025740457e-04 2.840401443765218303e+00 6.492452157261850709e-02
5.200000000000000000e+01 1.170408671290918647e+02 2.821695803277952219e+00 7.924182376646951020e-01 9.914112220481060157e-04 2.840401443765218303e+00 6.492452157261850709e-02
5.300000000000000000e+01 1.186599615055096990e+02 2.863644189789104288e+00 7.882221025945317372e-01 1.005519677933845854e-03 2.840401443765218303e+00 6.492452157261850709e-02
5.400000000000000000e+01 1.202512171021272565e+02 2.905008626133909644e+00 7.839998799001467455e-01 1.019447068077466989e-03 2.840401443765218303e+00 6.492452157261850709e-02
