# n msd err cf err var err
5.300000000000000000e+01 1.142278654150508665e-01 4.416139397624653035e-05 5.901531972684738170e-01 3.465975194715041869e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.400000000000000000e+01 1.163189885663621914e-01 4.498328760858964678e-05 5.898280608887817023e-01 3.532262207626846585e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.500000000000000000e+01 1.184159287931360882e-01 4.580792736027990706e-05 5.895437084519422610e-01 3.598784183544961591e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.600000000000000000e+01 1.205092764113015746e-01 4.663167479764910868e-05 5.892519447484609874e-01 3.665255501577087489e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.700000000000000000e+01 1.226093387318266115e-01 4.745851900536514567e-05 5.890026751086532286e-01 3.731989793139208745e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.800000000000000000e+01 1.247087854661390327e-01 4.828562480146140540e-05 5.887590947471330605e-01 3.798764381495512812e-06 3.652005536284059529e-03 1.390445890671679849e-06
5.900000000000000000e+01 1.268030571701885267e-01 4.911122676100408946e-05 5.884997537554624847e-01 3.865440373649879357e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.000000000000000000e+01 1.288931514780088383e-01 4.993571025993740072e-05 5.882299930700475299e-01 3.932047990857209647e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.100000000000000000e+01 1.309827848509851067e-01 5.076051477947448833e-05 5.879670079125308702e-01 3.998700549922877673e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.200000000000000000e+01 1.330651112921790169e-01 5.158298697026192858e-05 5.876802351834015115e-01 4.065189010106298615e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.300000000000000000e+01 1.351561666363889913e-01 5.240934315231321803e-05 5.874405055087278393e-01 4.132003279396110013e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.400000000000000000e+01 1.372401584682998721e-01 5.323346141044337843e-05 5.871780463534302941e-01 4.198660911403633547e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.500000000000000000e+01 1.393298041835498435e-01 5.406027433008257684e-05 5.869474806872149175e-01 4.265550925022409994e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.600000000000000000e+01 1.414173058014616124e-01 5.488675802956643329e-05 5.867150063845454344e-01 4.332434910769936876e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.700000000000000000e+01 1.435065998813805643e-01 5.571444075517127458e-05 5.864967972222062675e-01 4.399433541930547202e-06 3.652005536284059529e-03 1.390445890671679849e-06
6.800000000000000000e+01 1.455890943384512692e-01 5.653998705813671809e-05 5.862576252803322063e-01 4.466283472394841963e-06 3.652005536284059529e-03 1.390445890671679849e-06
