# time Ni NiV
4.130000000000000214e-11 8.345237834550649214e-02 4.960043571650364854e-09
4.148999999999999709e-11 8.371383493538654685e-02 6.157845800341559930e-10
4.159000000000000191e-11 8.565307031147248451e-02 5.076835343890714673e-10
4.253000000000000073e-11 8.823313564479362547e-02 2.439414993401645578e-08
4.447999999999999788e-11 9.023767229012381874e-02 1.769661154107113189e-08
4.636000000000000198e-11 9.264654662478298552e-02 1.640782335648548596e-08
4.683000000000000139e-11 9.023767699360829564e-02 1.769656093899123628e-08
4.688999999999999912e-11 8.823485525130791984e-02 6.740092250187912202e-09
4.694999999999999684e-11 9.041954113264943915e-02 1.612455598276664936e-08
4.759000000000000058e-11 8.872834350087240030e-02 1.622966930600836787e-08
4.771999999999999780e-11 9.502022194885062500e-02 8.466589993013507457e-09
4.811000000000000240e-11 9.742635447875416799e-02 9.446130176214873946e-09
4.850000000000000054e-11 9.802690650715903398e-02 1.654568900015525835e-09
4.917999999999999845e-11 9.972158789718928162e-02 2.675068817885422183e-08
4.939999999999999872e-11 9.802745330946621705e-02 1.321818096568856996e-09
5.041999999999999882e-11 1.000549734140917940e-01 2.918352547741033796e-09
5.219000000000000279e-11 1.021929244731841352e-01 1.493268977565597117e-08
5.324999999999999706e-11 1.047066703896717826e-01 3.833058097500387544e-08
5.339000000000000252e-11 1.044340999575929935e-01 1.486342782176680944e-09
5.404999999999999688e-11 1.072763336993882988e-01 1.276104347228691985e-08
5.502000000000000103e-11 1.044315866758545458e-01 1.396841127154168622e-09
5.595999999999999985e-11 9.826605928547585411e-02 1.324108006908865753e-08
5.615000000000000126e-11 1.001309632473015854e-01 6.966069771774570963e-09
5.633000000000000090e-11 9.826738607544821535e-02 1.282364829684831111e-08
5.656999999999999826e-11 1.042715874113405439e-01 1.478418067768980557e-08
5.662000000000000067e-11 1.069042539671000436e-01 1.708639459478342020e-08
5.747000000000000291e-11 1.042724952443470215e-01 1.467540477332711849e-08
5.754000000000000241e-11 1.072762110637232036e-01 6.153657559385184686e-09
5.828999999999999982e-11 1.042732561225408749e-01 1.441951667831082228e-08
5.837000000000000109e-11 1.069036830038536390e-01 1.887014290094706269e-08
5.851000000000000009e-11 1.078928071615892631e-01 1.285475979661542583e-09
5.903000000000000192e-11 1.096065259606455178e-01 2.782104257801584727e-08
5.933999999999999878e-11 1.078923069741569707e-01 8.280761061946896357e-10
6.044999999999999546e-11 1.096065298981006991e-01 2.782071340863219489e-08
6.052999999999999674e-11 1.162471046238934824e-01 1.490679951948455335e-08
6.200000000000000562e-11 1.237725319289143533e-01 6.535461750038812049e-08
6.256999999999999693e-11 1.162440067209039030e-01 1.593367085002329414e-08
6.272999999999999948e-11 1.096078161325766548e-01 1.302390721394192728e-08
6.286999999999999848e-11 1.162441114045745238e-01 1.607022875407545627e-08
6.305999999999999989e-11 1.237727908913669322e-01 6.070748126377892413e-08
6.344999999999999803e-11 1.162415453420918426e-01 1.653481461341406965e-08
6.378999999999999375e-11 1.172716957005441873e-01 1.429071967862132677e-09
6.385000000000000440e-11 1.189251417137890399e-01 9.857362074212080074e-09
6.559999999999999836e-11 1.172704208188597719e-01 1.278606161310356504e-09
6.633000000000000514e-11 1.189251420004369675e-01 9.857566366247479507e-09
6.661999999999999845e-11 1.213223758239134614e-01 1.467233237696010069e-08
6.750999999999999486e-11 1.238446376028023432e-01 1.761353390849089326e-08
6.807999999999999910e-11 1.265730369249309095e-01 1.681850345698069428e-08
6.915999999999999692e-11 1.287451669636819340e-01 2.210522496506753805e-08
6.964000000000000457e-11 1.311703657782455346e-01 2.464773341794752417e-08
6.964999999999999988e-11 1.287451652093026810e-01 2.210079928660146514e-08
6.995999999999999674e-11 1.310346183725671632e-01 2.044491597966153634e-08
7.152000000000000221e-11 1.287436199363108658e-01 2.062662161776121069e-08
7.215000000000000417e-11 1.310346174717599010e-01 2.044356145707188564e-08
7.273000000000000372e-11 1.287435533196334969e-01 2.051257001164416030e-08
7.282999999999999562e-11 1.310346126467266947e-01 2.044277325260053127e-08
7.289000000000000627e-11 1.287431945763328200e-01 1.979401316643378432e-08
7.317000000000000427e-11 1.306587823536274617e-01 8.908892002018318265e-09
7.317999999999999958e-11 1.288614285293938622e-01 1.631178900831134502e-08
7.397999999999999940e-11 1.306587795117673534e-01 8.908792775190187289e-09
7.511999999999999495e-11 1.287460644472129823e-01 1.449666533457537857e-08
7.540000000000000587e-11 1.306587818987791361e-01 8.908260901257567528e-09
7.568000000000000387e-11 1.314677784631801405e-01 8.308333651606897722e-10
7.585999999999999705e-11 1.333989142166872033e-01 3.042061287765874063e-08
7.654999999999999673e-11 1.357843680190146396e-01 4.802831318118306935e-08
7.656000000000000497e-11 1.383221077130074306e-01 4.722739461341406377e-08
7.668999999999999573e-11 1.406639624916693199e-01 5.183644891864616069e-08
7.830999999999999893e-11 1.383223820483957256e-01 4.612555432153391424e-08
7.872000000000000061e-11 1.357879376799420168e-01 1.803160239170936187e-08
7.877999999999999834e-11 1.334037350719966819e-01 3.292006470113336855e-08
7.969999999999999361e-11 1.356785122642875374e-01 4.485326536019249542e-08
7.990000000000000326e-11 1.334035948443793029e-01 3.260298258733117497e-08
8.084000000000000208e-11 1.357860468074651716e-01 2.323829271308803053e-08
8.211999999999999663e-11 1.381704077588632729e-01 2.431377747244215902e-08
8.387999999999999882e-11 1.364871195362337974e-01 4.163467014205869074e-08
8.432999999999999468e-11 1.381724214875961199e-01 2.344496143844125038e-08
8.437999999999999710e-11 1.364871162512960867e-01 4.162307784272628395e-08
8.468999999999999396e-11 1.386168981641000553e-01 4.330762121611513081e-08
8.473000000000000106e-11 1.407189424333148975e-01 1.713081593461665057e-08
8.497000000000000488e-11 1.430027221058200460e-01 3.659366964136002048e-08
8.555000000000000443e-11 1.452609247761887934e-01 4.414140412125447477e-08
8.570999999999999405e-11 1.429164069487987854e-01 4.403875690420742945e-08
8.718000000000000294e-11 1.452609259097530636e-01 4.414084012808567526e-08
8.848999999999999634e-11 1.430118550990310822e-01 1.549627011333643151e-08
8.859000000000000117e-11 1.496093908304240716e-01 3.714112035087718467e-08
8.892999999999999689e-11 1.483396103284257417e-01 1.737109415385809602e-08
8.897999999999999930e-11 1.482175193033643812e-01 1.023543466231951263e-08
8.922999999999999844e-11 1.500256773531066790e-01 1.432573969647569454e-08
9.173000000000000273e-11 1.482165041776080938e-01 5.938077786834339379e-09
9.311999999999999742e-11 1.501746856748270853e-01 1.357751107281477589e-08
9.324000000000000579e-11 1.523522214290098098e-01 5.351480495047430995e-09
9.324000000000000579e-11 1.501746810182048031e-01 1.357141696087563433e-08
9.410000000000000334e-11 1.502547233367397539e-01 1.225538236298711390e-09
9.422999999999999410e-11 1.503329472529285615e-01 2.024041047197640190e-09
9.490999999999999847e-11 1.524821870408830660e-01 4.624826866946126228e-08
9.526999999999999775e-11 1.550229426873884209e-01 1.997728161776121673e-08
9.576000000000000071e-11 1.572102923441599243e-01 4.582847854137556810e-08
9.658000000000000408e-11 1.596962954629373155e-01 6.033471062726357621e-08
9.846999999999999704e-11 1.620868670166311920e-01 1.287767134790778448e-07
1.016999999999999952e-10 1.647400481503455971e-01 7.700012360700297160e-08
1.025999999999999998e-10 1.669150537222720554e-01 7.009326586632507503e-08
1.046000000000000059e-10 1.671273450680536288e-01 2.004603206722557710e-08
1.053000000000000009e-10 1.692937224940312957e-01 3.928379778916316766e-08
1.062000000000000055e-10 1.717265931846348181e-01 4.372775181571180919e-08
1.065999999999999989e-10 1.740253081441454353e-01 1.986536232572581755e-08
1.072999999999999939e-10 1.758250996935889487e-01 2.762387573979196159e-08
1.085000000000000001e-10 1.743652323563042728e-01 2.888112142524452791e-08
