# t dx dy dz
1.189999999999999406e-09 -1.753272100000000222e+00 -1.753273000000000081e+00 0.000000000000000000e+00
6.999999999999996507e-11 0.000000000000000000e+00 -1.753273000000000081e+00 1.753273500000000595e+00
2.700000000000017560e-10 0.000000000000000000e+00 1.753273000000000081e+00 1.753273000000000081e+00
1.229999999999998441e-09 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753273000000000081e+00
1.159999999999998476e-09 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753273500000000595e+00
7.500000000000034071e-10 -1.753272599999998960e+00 -1.753274000000001109e+00 0.000000000000000000e+00
6.599999999999939986e-10 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753273499999999707e+00
6.000000000000186076e-11 1.753272599999998960e+00 1.753273000000000081e+00 0.000000000000000000e+00
5.000000000000044772e-10 1.753272100000000222e+00 1.753274000000001109e+00 0.000000000000000000e+00
1.569999999999993544e-09 1.753274900000000969e+00 0.000000000000000000e+00 1.753273499999999707e+00
9.000000000000940858e-11 1.753273000000000081e+00 0.000000000000000000e+00 -1.753273499999999707e+00
6.599999999999939986e-10 0.000000000000000000e+00 1.753273000000000081e+00 1.753273499999999707e+00
9.099999999999995459e-10 0.000000000000000000e+00 -1.753273000000000081e+00 1.753273500000000595e+00
4.310000000000003521e-09 -1.753273000000000081e+00 1.753273000000000081e+00 0.000000000000000000e+00
2.069999999999991404e-09 -1.753274900000000969e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.950000000000000918e-09 1.753274900000000969e+00 -1.753273000000000081e+00 0.000000000000000000e+00
8.900000000000033373e-10 -1.753274900000000969e+00 0.000000000000000000e+00 -1.753273000000000081e+00
3.499999999999998253e-10 -1.753272100000000222e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.399999999999999301e-10 1.753272100000000222e+00 0.000000000000000000e+00 -1.753273000000000081e+00
1.209999999999995615e-09 0.000000000000000000e+00 -1.753274000000001109e+00 -1.753273500000000595e+00
7.300000000000071985e-10 1.753273000000000081e+00 0.000000000000000000e+00 -1.753273499999999707e+00
1.469999999999999266e-09 1.753273999999999333e+00 0.000000000000000000e+00 -1.753273000000000081e+00
1.559999999999995440e-09 -1.753273999999999333e+00 0.000000000000000000e+00 1.753273000000000081e+00
3.800000000000073732e-10 -1.753273000000000081e+00 1.753273000000000081e+00 0.000000000000000000e+00
1.699999999999995370e-09 1.753273000000000081e+00 0.000000000000000000e+00 1.753273499999999707e+00
7.999999999999806938e-11 1.753273999999999333e+00 1.753273000000000081e+00 0.000000000000000000e+00
4.000000000000565213e-11 1.753273000000000081e+00 1.753273000000000081e+00 0.000000000000000000e+00
8.699999999999938938e-10 0.000000000000000000e+00 1.753273000000000081e+00 1.753273500000000595e+00
5.000000000000375645e-11 1.753273000000000081e+00 -1.753273000000000081e+00 0.000000000000000000e+00
6.999999999999996507e-10 -1.753273000000000081e+00 0.000000000000000000e+00 -1.753273500000000595e+00
3.799999999999941383e-10 0.000000000000000000e+00 -1.753273000000000081e+00 -1.753273499999999707e+00
5.200000000000073033e-10 0.000000000000000000e+00 1.753273000000000081e+00 1.753273499999999707e+00
1.300000000000018258e-10 0.000000000000000000e+00 -1.753273000000000081e+00 1.753273500000000595e+00
1.240000000000003163e-09 -1.753273000000000081e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.099999999999989998e-09 0.000000000000000000e+00 -1.753273000000000081e+00 1.753272600000000736e+00
8.300000000000014765e-10 -1.753273999999999333e+00 0.000000000000000000e+00 1.753272100000000222e+00
5.599999999999997205e-10 -1.753273000000000081e+00 -1.753273000000000081e+00 0.000000000000000000e+00
3.865000000000000095e-10 3.506546499999999789e+00 1.753272100000000000e+00 1.753273000000000081e+00
8.414000000000000103e-10 1.753272999999999859e+00 3.506547000000000303e+00 1.753273000000000081e+00
2.030499999999999968e-09 0.000000000000000000e+00 2.220446049250313081e-16 0.000000000000000000e+00
2.935999999999999787e-09 -1.753273000000000081e+00 -3.506547000000000303e+00 -1.753273000000000081e+00
1.971999999999999808e-09 -1.753273000000000081e+00 -3.506544700000000070e+00 -1.753273000000000081e+00
2.131000000000000189e-09 1.753273000000000081e+00 1.753272600000000070e+00 0.000000000000000000e+00
1.862999999999999874e-09 3.506545599999999929e+00 -1.753272600000000070e+00 -1.753273000000000081e+00
2.021999999999999842e-09 0.000000000000000000e+00 -1.753272600000000070e+00 1.753273000000000081e+00
1.091999999999999124e-09 -3.506545599999999929e+00 1.753272600000000070e+00 1.753273000000000081e+00
7.170000000000007294e-10 -3.506546499999999789e+00 3.506544700000000070e+00 0.000000000000000000e+00
1.286000000000000729e-09 -3.506546999999999858e+00 1.753272100000000000e+00 1.753273000000000081e+00
1.250999999999999092e-09 -3.506546499999999789e+00 -1.753272100000000000e+00 1.753273000000000081e+00
4.755000000000000227e-09 -1.753273000000000081e+00 0.000000000000000000e+00 -1.753273000000000081e+00
