# event_id	barrier
1.752280000000000000e+05 6.655073599999999923e-01
4.893730000000000000e+05 4.696868200000000049e-01
1.148333000000000000e+06 4.196713799999999828e-01
1.142522000000000000e+06 2.537011399999999917e-01
9.200740000000000000e+05 3.760701900000000264e-01
1.114546000000000000e+06 9.108356199999999570e-01
1.032293000000000000e+06 9.037163499999999461e-01
9.977090000000000000e+05 1.100548029999999899e+00
3.206410000000000000e+05 1.093749950000000082e+00
9.537490000000000000e+05 6.372741899999999626e-01
1.385670000000000000e+05 3.755563599999999780e-01
3.615160000000000000e+05 6.934819100000000347e-01
1.873700000000000000e+04 6.474600900000000436e-01
3.179220000000000000e+05 6.663768799999999493e-01
1.285372000000000000e+06 6.757022400000000095e-01
1.165248000000000000e+06 3.614869029999999928e+00
2.720970000000000000e+05 3.661200889999999930e+00
9.200750000000000000e+05 3.744330499999999895e-01
1.142523000000000000e+06 2.514493700000000054e-01
7.520540000000000000e+05 7.817650900000000513e-01
3.888460000000000000e+05 8.699684500000000043e-01
1.059182000000000000e+06 5.667270899999999889e-01
1.058491000000000000e+06 6.123904199999999909e-01
1.233522000000000000e+06 9.289895000000000236e-01
5.547360000000000000e+05 8.259337700000000115e-01
8.223330000000000000e+05 7.233832199999999935e-01
1.978860000000000000e+05 6.086069400000000407e-01
3.202620000000000000e+05 6.983440400000000547e-01
6.432890000000000000e+05 7.285572399999999949e-01
3.210000000000000000e+02 1.095495110000000105e+00
1.053717000000000000e+06 6.531615600000000299e-01
1.162030000000000000e+05 8.786494999999999722e-02
4.523250000000000000e+05 8.622957199999999878e-01
4.458890000000000000e+05 6.770701799999999659e-01
1.157240000000000000e+06 8.358010299999999448e-01
1.087384000000000000e+06 8.945571900000000021e-01
4.392190000000000000e+05 5.206324500000000244e-01
6.838220000000000000e+05 4.606912400000000019e-01
4.747980000000000000e+05 1.230741340000000017e+00
1.045570000000000000e+06 9.510228400000000359e-01
8.116240000000000000e+05 1.984891909999999982e+00
3.528570000000000000e+05 2.049023469999999847e+00
9.286090000000000000e+05 4.579963100000000176e-01
4.586810000000000000e+05 3.831703100000000140e-01
1.024494000000000000e+06 1.260215000000000085e+00
1.091315000000000000e+06 3.988972000000000073e-01
