# n msd err cf err var err
9.600000000000000000e+01 3.435252239230743854e-01 1.244460584066020992e-04 8.069275843928175318e-01 7.027038014961468639e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.700000000000000000e+01 3.470871737210153851e-01 1.257694313561964978e-04 8.068893703384122373e-01 7.103455969465925393e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.800000000000000000e+01 3.506471537152749396e-01 1.270927942532802603e-04 8.068474035977546421e-01 7.179893746506735385e-06 4.434583497218393816e-03 1.567862031310540775e-06
9.900000000000000000e+01 3.542084416759139764e-01 1.284173357177255653e-04 8.068092639310274761e-01 7.256418516569270866e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.000000000000000000e+02 3.577680869611943315e-01 1.297419869319491460e-04 8.067681828194360749e-01 7.332969923307141964e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.010000000000000000e+02 3.613269210981124302e-01 1.310670498910273282e-04 8.067261041633644325e-01 7.409565050088111145e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.020000000000000000e+02 3.648890679064525910e-01 1.323940214629065455e-04 8.066921741914064858e-01 7.486288560872492019e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.030000000000000000e+02 3.684505155941806276e-01 1.337214474420937412e-04 8.066573724526699962e-01 7.563058288585275995e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.040000000000000000e+02 3.720119716527771070e-01 1.350495853083571345e-04 8.066232581284621395e-01 7.639888823309641484e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.050000000000000000e+02 3.755735470240256779e-01 1.363784761940636065e-04 8.065900498393943074e-01 7.716782526488770935e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.060000000000000000e+02 3.791362007810944457e-01 1.377084693307754188e-04 8.065597622383099408e-01 7.793759198783524361e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.070000000000000000e+02 3.826989301002363675e-01 1.390392015382575536e-04 8.065302000061402854e-01 7.870798329571019919e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.080000000000000000e+02 3.862630849039226377e-01 1.403711642605996442e-04 8.065041615858778989e-01 7.947927779605148114e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.090000000000000000e+02 3.898295480477901309e-01 1.417046796811750951e-04 8.064833764526914139e-01 8.025165847895304651e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.100000000000000000e+02 3.933977388791244922e-01 1.430395381928029834e-04 8.064665109953585986e-01 8.102500725450594333e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.110000000000000000e+02 3.969655512498779792e-01 1.443749751501934876e-04 8.064491805644435907e-01 8.179889145803329576e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.120000000000000000e+02 4.005328777935588391e-01 1.457109522416724623e-04 8.064311814433610115e-01 8.257328966283755990e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.130000000000000000e+02 4.041019920281768707e-01 1.470482974933810501e-04 8.064170683676014084e-01 8.334867147484782330e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.140000000000000000e+02 4.076715961824110002e-01 1.483865399120443520e-04 8.064041719864205593e-01 8.412477043990530679e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.150000000000000000e+02 4.112415178529283954e-01 1.497256177320588312e-04 8.063921224990310277e-01 8.490155193090371670e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.160000000000000000e+02 4.148116700368334464e-01 1.510655002239888630e-04 8.063807288721378530e-01 8.567899889375114972e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.170000000000000000e+02 4.183792884791460720e-01 1.524051813700190894e-04 8.063646465932154950e-01 8.645654099724270467e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.180000000000000000e+02 4.219457650434842444e-01 1.537451684573162922e-04 8.063466547440272247e-01 8.723446608857429293e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.190000000000000000e+02 4.255106629305442922e-01 1.550853028219642375e-04 8.063259737474955946e-01 8.801268431707081355e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.200000000000000000e+02 4.290724031827681806e-01 1.564250092402772927e-04 8.062997037036757630e-01 8.879086931104849509e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.210000000000000000e+02 4.326353856000381692e-01 1.577658921055947777e-04 8.062761828226964189e-01 8.956993189402165874e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.220000000000000000e+02 4.362012359397502426e-01 1.591085456605145841e-04 8.062583484924700228e-01 9.035021000291053911e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.230000000000000000e+02 4.397691438455544333e-01 1.604526759490251342e-04 8.062445763612170468e-01 9.113153737464535365e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.240000000000000000e+02 4.433339218312860042e-01 1.617963912529279448e-04 8.062253344419230139e-01 9.191283995866624031e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.250000000000000000e+02 4.469022436131301901e-01 1.631421277827075831e-04 8.062127934106119165e-01 9.269550193865485775e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.260000000000000000e+02 4.504678455406907478e-01 1.644876002889261778e-04 8.061955837606489261e-01 9.347822537934269302e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.270000000000000000e+02 4.540346650824853003e-01 1.658342470004220263e-04 8.061808071161977729e-01 9.426182779445898427e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.280000000000000000e+02 4.576031678450492302e-01 1.671822392603620783e-04 8.061692267226205910e-01 9.504640708341857721e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.290000000000000000e+02 4.611707163197268367e-01 1.685306145907431124e-04 8.061561577132521084e-01 9.583141649562921562e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.300000000000000000e+02 4.647404924522842151e-01 1.698805367203254574e-04 8.061471539006886955e-01 9.661751811426969166e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.310000000000000000e+02 4.683095039848442775e-01 1.712309131103856145e-04 8.061369713864509068e-01 9.740409105864050100e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.320000000000000000e+02 4.718792069257421451e-01 1.725822769364878295e-04 8.061281243103211036e-01 9.819143893144985377e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.330000000000000000e+02 4.754498493146653293e-01 1.739347200320286212e-04 8.061210030987258079e-01 9.897961441463521976e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.340000000000000000e+02 4.790189592962967868e-01 1.752873390387262021e-04 8.061114093803224412e-01 9.976810379683121469e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.350000000000000000e+02 4.825864499163935450e-01 1.766401025713086679e-04 8.060992528537095358e-01 1.005568893736263611e-05 4.434583497218393816e-03 1.567862031310540775e-06
