# n msd err_msd cf err_cf var err_var
8.000000000000000000e+01 4.665596183827941559e+02 1.136936223227080767e+01 9.552966814267037643e-01 1.918072539563352163e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.100000000000000000e+01 4.719021008254103435e+02 1.151323236550210183e+01 9.543067613527167481e-01 1.943753052761435732e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.200000000000000000e+01 4.773417665832810144e+02 1.165983564968194663e+01 9.535351184924037993e-01 1.969925996455411648e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.300000000000000000e+01 4.827659512785275524e+02 1.180642726269244314e+01 9.527515171448011078e-01 1.996128403441355201e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.400000000000000000e+01 4.881285853131827253e+02 1.195187983267409315e+01 9.518665471909493192e-01 2.022169630863287701e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.500000000000000000e+01 4.933472699974047373e+02 1.209416998410815047e+01 9.507249965873375563e-01 2.047706785971061937e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.600000000000000000e+01 4.984846052974411919e+02 1.223482344170631464e+01 9.494550489001287730e-01 2.072997341599357342e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.700000000000000000e+01 5.035006617209015758e+02 1.237285374823581030e+01 9.479859527705943867e-01 2.097873559543853624e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.800000000000000000e+01 5.083442674821712899e+02 1.250699306281716794e+01 9.462292464675771120e-01 2.122119487340017301e-03 6.104904730826696380e+00 1.365098197428854798e-01
8.900000000000000000e+01 5.134033355038772015e+02 1.264678344947939159e+01 9.449085706916835470e-01 2.147354031384564842e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.000000000000000000e+01 5.181856686051704628e+02 1.278010703142442317e+01 9.431135773477959949e-01 2.171520340078826779e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.100000000000000000e+01 5.231133505123864325e+02 1.291736346759036991e+01 9.416196666021581230e-01 2.196384502525629626e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.200000000000000000e+01 5.283572559914488238e+02 1.306279244379212123e+01 9.407212569725514895e-01 2.222669438706159975e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.300000000000000000e+01 5.335823768531369069e+02 1.320813198541968525e+01 9.398090822659544985e-01 2.248971403636289973e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.400000000000000000e+01 5.386768050206236467e+02 1.335060895157608662e+01 9.386885727787643852e-01 2.274817962209998469e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.500000000000000000e+01 5.438107885820614911e+02 1.349443813950358262e+01 9.376598559241283715e-01 2.300926871906741264e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.600000000000000000e+01 5.487740250472855905e+02 1.363440026991003151e+01 9.363612285999541873e-01 2.326408176271911425e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.700000000000000000e+01 5.534977103255810107e+02 1.376877016175071589e+01 9.346848499217598194e-01 2.350966050307395742e-03 6.104904730826696380e+00 1.365098197428854798e-01
