# t dx dy dz
2.199999999999999265e-06 0.000000000000000000e+00 -1.769999499999999948e+00 -1.769999500000000836e+00
3.599999999999979085e-06 -1.769998600000000977e+00 0.000000000000000000e+00 -1.770000500000000088e+00
4.500000000000000961e-06 0.000000000000000000e+00 1.769999499999999948e+00 1.770000500000000088e+00
3.200000000000023572e-06 1.769998600000000977e+00 0.000000000000000000e+00 1.769999500000000836e+00
1.999999999999994404e-06 -1.769999500000000836e+00 0.000000000000000000e+00 1.769999500000000836e+00
1.590000000000000701e-05 1.769999500000000836e+00 -1.769999499999999948e+00 0.000000000000000000e+00
3.979999999999999163e-05 -1.769999500000000836e+00 0.000000000000000000e+00 -1.769999500000000836e+00
1.519999999999998999e-05 0.000000000000000000e+00 1.769999499999999948e+00 -1.770000500000000088e+00
1.899999999999991973e-06 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000500000000088e+00
1.979999999999999339e-05 0.000000000000000000e+00 -1.769998600000000089e+00 -1.769999999999999574e+00
4.000000000000097228e-07 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.830000000000001114e-05 0.000000000000000000e+00 -1.769999499999999948e+00 -1.769999999999999574e+00
2.999999999999530820e-07 0.000000000000000000e+00 -1.770000500000000088e+00 -1.770000099999999854e+00
1.000000000000024307e-06 -1.770000500000000088e+00 0.000000000000000000e+00 1.770000099999999854e+00
2.240000000000000237e-05 1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
3.999999999999988808e-06 1.770000500000000088e+00 1.770000500000000088e+00 0.000000000000000000e+00
4.700000000000060033e-06 -1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.049999999999998417e-05 1.770000500000000088e+00 -1.770000500000000088e+00 0.000000000000000000e+00
5.200000000000017976e-06 -1.770000500000000088e+00 -1.770000500000000088e+00 0.000000000000000000e+00
3.499999999999922444e-06 0.000000000000000000e+00 -1.769999999999999574e+00 -1.769999999999999574e+00
4.800000000000008253e-06 0.000000000000000000e+00 -1.769999999999999574e+00 1.769999999999999574e+00
2.000000000000048614e-07 -1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
2.000000000000048614e-06 -1.769999999999999574e+00 -1.769999999999999574e+00 0.000000000000000000e+00
2.199999999999945055e-06 -1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
9.300000000000063424e-06 -1.769999999999999574e+00 1.769999999999999574e+00 0.000000000000000000e+00
6.419999999999993420e-05 -1.770000100000000742e+00 1.769999999999999574e+00 0.000000000000000000e+00
2.800000000000068059e-06 1.770000100000000742e+00 -1.769999999999999574e+00 0.000000000000000000e+00
3.439999999999996880e-05 0.000000000000000000e+00 1.769999999999999574e+00 -1.770000500000000088e+00
2.900000000000016280e-06 0.000000000000000000e+00 1.769999999999999574e+00 -1.769999999999999574e+00
9.099999999999950143e-06 0.000000000000000000e+00 1.770000500000000088e+00 -1.769999999999999574e+00
5.300000000000074617e-06 1.769999999999999574e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.669999999999991804e-05 0.000000000000000000e+00 1.770000500000000088e+00 1.769999999999999574e+00
2.700000000000011419e-06 1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
1.300000000000085809e-06 1.769999999999999574e+00 -1.770000500000000088e+00 0.000000000000000000e+00
2.399999999999949916e-06 0.000000000000000000e+00 -1.770000500000000088e+00 1.770000500000000088e+00
3.900000000000040587e-06 -1.769999999999999574e+00 1.770000500000000088e+00 0.000000000000000000e+00
9.999999999999158867e-07 0.000000000000000000e+00 -1.770000500000000088e+00 -1.770000500000000088e+00
