step time ezz temp pe pxx pyy szz vol
1190 5.95 0 596.962417597305 -5826.11707362724 8604.12150857161 8862.90378796311 -0.934635805521282 15683.888962896
1200 6 0 601.762052530138 -5826.60642295358 10383.1957739574 9393.88446694 -1.03502797050424 15678.771334997
1210 6.05 0 602.348127350834 -5826.34659971323 12031.7539086591 10012.0530366655 -1.12325456946569 15673.86993862
1220 6.1 0 597.245128312364 -5825.07854668685 13340.1828791082 10681.2195524846 -1.20101848001662 15669.1980939113
1230 6.15 0 594.260331261251 -5824.18827547141 14268.3415394977 11571.9667847371 -1.26934325047492 15664.7670859576
1240 6.2 0 600.857344921594 -5824.99798294079 14536.6301831162 12643.1145089664 -1.29476666601309 15660.5863659779
1250 6.25 0 611.228562783703 -5826.47416164163 14455.8065864398 13583.1237978731 -1.29269942828361 15656.6609012848
1260 6.3 0 611.326050544141 -5826.12684403322 15164.4665801917 14818.4031565875 -1.3460330582453 15652.9928819794
1270 6.35 0 600.786279039251 -5823.89563460718 16663.7789521061 16506.0350699131 -1.42980258311793 15649.5917086736
1280 6.4 0 594.614275829566 -5822.44738178655 17952.9586082488 17646.8274946325 -1.48841543158098 15646.4734234891
1290 6.45 0 598.727790400927 -5822.82366487613 18800.5611118638 17785.3164182278 -1.52607607715383 15643.6497728875
1300 6.5 0 607.701242436271 -5824.06156749862 19239.398861095 17495.7975134044 -1.54447770357657 15641.1243216143
1310 6.55 0 611.804822910571 -5824.43596988954 19415.2526652202 17525.4998076912 -1.56460810479945 15638.895648776
1320 6.6 0 609.130083928548 -5823.61151573636 19489.5741864486 18022.1206031932 -1.58702446738372 15636.9624034595
1330 6.65 0 606.084225392364 -5822.72692985293 19484.2995018372 18470.903615901 -1.5721256243932 15635.3246616392
1340 6.7 0 604.820194247936 -5822.16268346114 19424.4213951303 18673.3678531176 -1.55219002503935 15633.9804998306
1350 6.75 0 607.697802891058 -5822.33473210244 19144.5987266679 18935.2368896709 -1.57994665202206 15632.9265398265
1360 6.8 0 613.308222648154 -5822.99393905658 18411.8662971476 19251.8920022043 -1.64463906156408 15632.1605733974
1370 6.85 0 616.698087107414 -5823.26011027613 17811.6544359345 19139.3900671417 -1.71234175422871 15631.6804639213
1380 6.9 0 616.992801003439 -5822.97908181683 17834.9692184773 18361.6205511819 -1.75295674806458 15631.4828169781
1390 6.95 0 617.703872066534 -5822.77704284982 18003.5804025167 17340.0625752562 -1.77313520888685 15631.5627483078
1400 7 0 623.717683930524 -5823.51693633984 17915.636649708 16642.6132011191 -1.77689645327171 15631.9140661777
1410 7.05 0 632.403167385078 -5824.73137184391 17621.1068412288 16570.1564026003 -1.75471246509309 15632.5301585578
1420 7.1 0 633.469988135425 -5824.59699473395 17321.3182565395 16980.8698783482 -1.7361559039416 15633.4054002015
1430 7.15 0 622.07447545427 -5822.25989940538 17402.9589234896 17751.5754132224 -1.76341192301196 15634.5371509418
1440 7.2 0 606.857178957277 -5819.25549564847 17769.0814250823 18514.6024490781 -1.81903326192359 15635.9283299513
1450 7.25 0 601.951048991867 -5818.08889061754 17733.030124861 18648.288132394 -1.83340215615239 15637.5841199404
1460 7.3 0 611.467388549818 -5819.47853658147 16959.2559999248 17939.5814214381 -1.74180205609546 15639.5026475794
1470 7.35 0 626.447593802266 -5821.83070157602 16055.5083904147 16723.0259224771 -1.58778850526659 15641.6696776678
1480 7.4 0 632.265904902234 -5822.55544007797 15890.9559586504 15908.5216845063 -1.47296813711015 15644.065303773
