# time Ni NiV
5.714999999999999781e-11 2.426185500132111567e-02 6.446607594047366560e-06
5.881000000000000164e-11 2.431987383196365995e-02 5.216348942432700230e-06
5.955000000000000374e-11 2.426177560620768753e-02 7.411473987009314691e-06
6.054000000000000497e-11 2.427968642690742432e-02 1.125094822221010223e-05
6.055999999999999560e-11 2.426168323382120809e-02 7.406072482612955432e-06
6.074999999999999701e-11 2.431847088324956552e-02 5.449732001419171230e-06
6.165999999999999697e-11 2.447391323019138323e-02 3.403722466343954761e-06
6.333000000000000258e-11 2.710556924378157428e-02 2.037831437162491203e-06
6.341999999999999916e-11 2.704575215903589833e-02 3.306312850153961612e-06
6.443999999999999926e-11 2.701893598098161972e-02 3.588623823678845616e-06
6.460000000000000181e-11 2.704575224153193957e-02 3.306312850153961612e-06
6.582999999999999394e-11 2.701876565566692021e-02 3.590823563121149875e-06
6.589000000000000459e-11 2.704575230691963830e-02 3.306277713674344051e-06
6.589999999999999991e-11 2.701857130054051773e-02 3.592157792928541536e-06
6.711999999999999673e-11 2.724360555139527379e-02 1.551850653900369291e-06
6.749000000000000424e-11 2.705544859496540958e-02 3.824943601588665541e-06
6.758999999999999614e-11 2.704719347440040153e-02 4.184899299630983268e-06
6.788000000000000237e-11 2.699637329610158135e-02 4.508681073434998831e-06
6.794000000000000010e-11 2.704719342972077348e-02 4.184685406503681085e-06
6.819999999999999455e-11 2.713982575324712029e-02 4.415727274788928571e-06
6.821000000000000279e-11 2.704719336673130914e-02 4.184685406503681085e-06
6.837000000000000534e-11 2.699662879447258662e-02 4.382101266453370234e-06
6.923999999999999820e-11 2.724940972395830871e-02 4.994216454066727718e-06
6.942000000000000429e-11 2.710983316380386615e-02 4.836254848257056158e-06
6.970000000000000229e-11 2.722767194144212408e-02 4.931191959450341642e-06
7.081999999999999429e-11 2.982315527189243268e-02 4.353730689190259873e-06
7.133000000000000080e-11 2.962054551776545711e-02 5.412551652499620711e-06
7.171999999999999894e-11 2.982319802583050308e-02 4.352987822999147946e-06
7.221000000000000190e-11 2.968321156766654673e-02 5.433049895376820134e-06
7.262999999999999890e-11 2.972451230653365764e-02 4.241742883051537084e-06
7.353000000000000354e-11 3.000569530370723534e-02 3.515298988821398521e-06
7.411999999999999840e-11 3.252640587049770993e-02 1.134014380200195954e-06
7.445999999999999413e-11 3.251694252982531563e-02 6.381729859110757633e-07
7.472000000000000150e-11 3.236698332318706239e-02 8.689478369169007186e-07
7.546999999999999891e-11 3.233694849576553010e-02 2.184563325174986908e-06
7.601000000000000429e-11 3.236698335032002494e-02 8.689158421044183366e-07
7.613999999999999505e-11 3.233695516080178217e-02 2.183728728143834637e-06
7.637999999999999887e-11 3.233967328730734392e-02 5.057311338635893147e-06
7.643999999999999660e-11 3.236434641854627620e-02 1.030569763949397170e-05
7.662999999999999801e-11 3.236761416082543918e-02 1.678847037568648640e-05
7.693999999999999487e-11 3.236316832077948402e-02 1.207065433091038893e-05
7.709999999999999742e-11 3.236816034925892732e-02 1.833208579170089860e-05
7.731000000000000238e-11 3.237054963752176995e-02 2.302032010680156627e-05
7.762999999999999456e-11 3.236812569787277105e-02 1.832764048715802298e-05
7.844000000000000261e-11 3.508693143144508281e-02 1.312095715765544145e-05
7.858999999999999693e-11 3.507242370642197488e-02 6.575960610869190760e-06
7.878999999999999365e-11 3.504950251603673739e-02 3.113965468390545983e-06
7.893000000000000558e-11 3.507245133381860919e-02 6.573598573086398055e-06
7.938000000000000144e-11 3.778339654445075912e-02 1.650348471875687083e-06
7.980999999999999375e-11 3.791285975493090959e-02 4.747385877311987620e-06
8.093999999999999398e-11 3.788447850470027384e-02 1.021584364435789430e-05
8.100999999999999994e-11 3.786630812461894147e-02 1.933519508481879322e-05
8.150000000000000290e-11 3.784864271929205132e-02 3.521899080648455382e-05
8.200000000000000118e-11 3.786630825988531596e-02 1.933527007940595978e-05
8.412000000000000265e-11 3.782648808442018451e-02 3.544759152104357404e-05
8.437000000000000178e-11 3.784528933174780702e-02 1.967983201344402399e-05
8.472000000000000574e-11 3.786156233712525271e-02 1.103103883693774487e-05
8.484000000000000119e-11 3.784524581751846917e-02 1.967651228699122536e-05
8.600000000000000029e-11 3.780634278710476998e-02 3.585902126710412938e-05
8.815000000000000062e-11 3.783213156707558589e-02 1.935387105048566256e-05
8.848000000000000103e-11 3.780709571266065161e-02 3.574220534157651727e-05
8.897999999999999930e-11 3.783213150151273213e-02 1.935387105048566256e-05
9.052000000000000122e-11 3.788604245387389852e-02 1.051203488084320246e-05
9.145000000000000473e-11 3.786222206833120968e-02 1.285376987533418728e-05
9.146999999999999536e-11 3.782570588112098980e-02 3.304251534189800703e-05
9.217000000000000328e-11 3.786222208961682878e-02 1.285401701117550445e-05
9.223000000000000101e-11 3.788454847551671334e-02 9.505904220160584287e-06
9.273999999999999459e-11 4.069673578956551491e-02 1.410801040121871089e-05
9.435000000000000247e-11 4.052766912562794088e-02 2.817123911133670645e-05
9.504999999999999747e-11 4.069674256339504692e-02 1.410836077567301596e-05
9.543000000000000030e-11 4.053101040907974156e-02 2.849920025390707042e-05
9.556999999999999930e-11 4.066900980976224933e-02 2.097646413914444312e-05
9.603000000000000339e-11 4.056234880666330367e-02 1.240683606354990354e-05
9.634000000000000026e-11 4.052423357403050347e-02 6.805921815671440866e-06
9.636999999999999912e-11 4.047833453496840067e-02 3.111874808150253801e-06
9.708000000000000235e-11 4.317690522489382038e-02 4.727284166583626017e-06
9.769999999999999608e-11 4.333485196168462839e-02 2.610708808605294853e-06
9.780000000000000090e-11 4.324195047501664529e-02 9.712861982454932659e-07
9.815000000000000486e-11 4.322450761512961620e-02 2.340169477298814780e-06
9.849999999999999590e-11 4.322756197632898756e-02 5.255797822666489225e-06
9.855999999999999362e-11 4.325235736456206626e-02 1.033122384881848410e-05
1.000999999999999955e-10 4.313842667184308866e-02 6.498676175005261561e-06
1.011000000000000050e-10 4.325235740135878471e-02 1.033093670847118433e-05
1.030999999999999981e-10 4.324934727366477188e-02 1.717358454814735033e-05
1.049999999999999993e-10 4.319180208699804208e-02 2.223545393478889339e-05
1.059999999999999958e-10 4.318118199409781005e-02 2.501035696394065478e-05
1.064999999999999941e-10 4.319427379917840232e-02 2.256357623280916678e-05
1.075000000000000036e-10 4.318118192219783102e-02 2.500957560509706800e-05
1.080000000000000019e-10 4.318815954772985827e-02 2.811941036630577571e-05
1.089999999999999984e-10 4.318176157514697772e-02 2.646189037135621608e-05
1.094000000000000048e-10 4.318815938084658024e-02 2.811911659544797033e-05
1.115000000000000027e-10 4.577068941732553159e-02 1.776199702255467014e-05
1.131000000000000023e-10 4.578315289380393421e-02 1.951924936891867644e-05
1.139999999999999941e-10 4.577067848335408112e-02 1.776199702255467014e-05
1.148999999999999987e-10 4.586240769259982558e-02 2.544749238925054653e-05
1.153999999999999970e-10 4.576936511696493015e-02 2.921791684248054225e-05
1.155999999999999937e-10 4.578223753041756744e-02 2.917011402723324639e-05
1.181999999999999899e-10 4.836955430033014480e-02 2.629707472502558789e-05
1.213999999999999892e-10 4.848061302384603505e-02 2.809920360602853484e-05
1.223000000000000068e-10 4.839460129359762774e-02 3.265745674475144537e-05
1.233000000000000033e-10 4.848061293329559984e-02 2.809849714558510973e-05
1.256999999999999899e-10 4.841509109111027942e-02 2.576954897960610823e-05
1.349999999999999991e-10 4.835031684864937729e-02 2.150373371292518099e-05
1.358999999999999908e-10 4.829331580786592332e-02 1.609110214375817900e-05
1.359999999999999956e-10 4.828363031819946083e-02 1.032875073754604278e-05
1.363999999999999891e-10 4.831846244865786039e-02 1.618267703020817696e-05
1.377000000000000001e-10 4.828367259407893158e-02 1.032869911656475294e-05
1.388000000000000015e-10 4.832356590973666682e-02 5.457417129898696268e-06
1.395999999999999884e-10 4.843425118911823951e-02 2.556792666796765032e-06
1.402999999999999963e-10 4.844696686440578409e-02 1.979767683231692163e-06
1.421000000000000056e-10 5.110422614341924435e-02 2.052891185722558880e-06
1.434999999999999956e-10 5.125785004316708859e-02 2.708597243239957710e-06
1.438999999999999890e-10 5.115223964363802694e-02 3.870212725708509301e-06
1.438999999999999890e-10 5.125098637775661603e-02 4.311077023135113066e-06
1.440999999999999987e-10 5.385393933796562421e-02 2.896468683340263017e-06
1.442000000000000035e-10 5.645843032135585554e-02 4.710289787051702827e-06
1.444999999999999921e-10 5.663089790260261713e-02 4.965641201400014065e-06
1.453000000000000049e-10 5.650458595496843373e-02 4.088910358464497224e-06
1.476000000000000125e-10 5.646261696693784249e-02 3.513510330919229271e-06
1.477999999999999963e-10 5.640758392384517123e-02 3.355465233360010478e-06
1.480000000000000059e-10 5.646261685902324856e-02 3.513384158247294684e-06
1.486000000000000090e-10 5.656750078181340541e-02 4.402758513793543000e-06
1.487999999999999928e-10 5.646256509348823033e-02 3.511848115593829953e-06
1.501000000000000038e-10 5.640772175765902674e-02 3.340880051971555911e-06
1.503999999999999925e-10 5.636654229028994351e-02 3.141805332931364396e-06
1.513999999999999890e-10 5.640775274238532533e-02 3.339142091584899798e-06
1.514999999999999938e-10 5.645946198802891808e-02 3.963855072671711464e-06
1.518999999999999873e-10 5.649971904102726178e-02 4.402962739504262077e-06
1.522000000000000017e-10 5.663111293836236432e-02 5.379525893746042613e-06
1.529999999999999886e-10 5.657391314960776713e-02 4.303337195643513253e-06
1.550000000000000076e-10 5.644713175868253802e-02 3.851971807979583901e-06
1.550000000000000076e-10 5.640730901416296517e-02 3.659817644526667023e-06
1.552999999999999962e-10 5.638392434525577729e-02 3.266637765183709031e-06
1.560000000000000041e-10 5.636578908392866211e-02 2.947552943816734614e-06
1.563999999999999976e-10 5.633685939861379777e-02 3.225402674496702902e-06
1.572999999999999893e-10 5.639967771246235523e-02 4.754341123632342857e-06
1.578999999999999924e-10 5.642351425978458374e-02 8.659652205492935503e-06
1.578999999999999924e-10 5.639968895379047359e-02 4.754250016794823852e-06
1.621999999999999931e-10 5.633638285058071432e-02 3.383295672682447925e-06
1.627999999999999962e-10 5.639968878000482799e-02 4.754216155917259171e-06
1.631000000000000106e-10 5.633647359448022696e-02 3.381866731450014087e-06
1.653999999999999924e-10 5.919199631437600112e-02 4.143301094575603511e-06
1.663999999999999889e-10 6.177516817437159885e-02 5.550080167732365196e-06
1.668999999999999872e-10 6.203744762444345778e-02 4.853875696609676689e-06
1.684000000000000078e-10 6.214285005744989848e-02 3.289371123481226281e-06
1.685000000000000127e-10 6.203744813015500681e-02 4.853875696609676689e-06
1.696999999999999930e-10 6.214239956823162242e-02 3.288467463375039686e-06
1.706000000000000106e-10 5.911097312398062853e-02 3.801523742680567982e-06
1.720000000000000006e-10 5.933065614024456841e-02 2.998838778897484604e-06
1.722000000000000102e-10 5.911093466625869097e-02 2.775545032945929364e-06
1.724999999999999989e-10 6.181571174867849655e-02 2.289168548166843339e-06
1.727999999999999875e-10 6.180556416281554610e-02 3.039362206657422909e-06
1.734999999999999954e-10 6.181571164706572280e-02 2.289118566671205040e-06
1.737000000000000050e-10 6.195157022174558464e-02 2.572730492122729165e-06
1.743000000000000081e-10 6.181568790749715492e-02 2.287090410877875355e-06
1.754999999999999885e-10 6.195157048991676435e-02 2.572730492122729165e-06
1.760000000000000126e-10 6.183219205571516275e-02 2.820492804695466228e-06
1.765000000000000109e-10 6.445699413726453664e-02 2.291578182400138000e-06
1.766999999999999947e-10 6.453366653915881823e-02 3.959293318999912281e-06
1.776999999999999912e-10 6.476982155255747720e-02 4.301313993208945293e-06
1.798999999999999940e-10 6.726175490012455127e-02 2.943674221900172678e-06
1.806000000000000019e-10 6.982357955104448455e-02 2.387630461115478203e-06
1.829000000000000095e-10 6.992547745575439233e-02 3.640222798465449058e-06
1.849000000000000026e-10 6.986331441316932789e-02 4.765115291185005555e-06
1.851000000000000122e-10 6.989246008184300807e-02 5.071979643420548312e-06
1.872999999999999891e-10 7.009764342301899598e-02 4.941271261190578452e-06
1.874999999999999988e-10 6.989244868706731562e-02 5.071450661138728031e-06
1.877000000000000084e-10 6.986926106268832870e-02 6.071710947191120106e-06
1.883000000000000115e-10 7.002518320549482034e-02 5.691791346049177066e-06
1.883000000000000115e-10 6.987707230496682798e-02 4.678365340945544593e-06
1.883999999999999905e-10 6.976217974969672886e-02 5.153926022019251852e-06
1.888000000000000098e-10 6.987707227025000134e-02 4.678370286681891978e-06
1.888000000000000098e-10 7.283135125647549613e-02 2.343610399477372123e-06
1.899999999999999901e-10 7.565451626861403878e-02 1.910820045923555344e-06
1.901999999999999998e-10 7.820163540629376797e-02 2.805597061970258145e-06
1.917999999999999994e-10 7.838712263034616767e-02 3.168984474912131951e-06
1.931000000000000104e-10 7.844026257027227056e-02 2.828007312063297627e-06
1.931000000000000104e-10 7.816180344272916081e-02 3.835452165741484140e-06
1.933999999999999991e-10 7.844042202948522946e-02 2.827072237434283517e-06
1.942000000000000118e-10 7.816180329929046933e-02 3.835452165741484140e-06
1.942999999999999908e-10 7.809035842369441149e-02 5.237247985902544435e-06
1.952999999999999873e-10 7.814361390131986662e-02 7.514418198432719221e-06
1.956000000000000018e-10 7.822031287941769162e-02 5.629049347039086531e-06
1.963000000000000097e-10 7.814361390566287868e-02 7.514418198432719221e-06
1.995999999999999880e-10 7.809082658698408841e-02 1.216730962625860121e-05
1.999000000000000025e-10 7.805771593581989354e-02 1.694868886794300219e-05
2.005000000000000056e-10 7.812932384288343024e-02 1.376478401677672111e-05
2.010000000000000038e-10 7.815039666928209894e-02 9.419226847906210100e-06
2.011999999999999876e-10 7.804946720507885405e-02 5.883052604667877926e-06
2.011999999999999876e-10 7.815785228243538052e-02 3.722564667283924589e-06
2.012999999999999925e-10 7.843829623457553024e-02 2.861444071720459255e-06
2.015000000000000021e-10 7.813427388372218285e-02 2.534737288013604839e-06
2.016000000000000069e-10 7.843829685830609744e-02 2.861286158682888557e-06
2.021000000000000052e-10 7.813354925609362900e-02 2.532670710541220769e-06
2.023999999999999938e-10 7.788058900931534023e-02 2.245298997717620696e-06
2.032000000000000066e-10 7.784812073752792050e-02 1.993694988722592051e-06
2.049999999999999900e-10 7.798353251121228902e-02 2.028087365465171775e-06
2.054000000000000093e-10 7.784812042493044482e-02 1.993694988722592051e-06
2.054000000000000093e-10 7.787581806550983310e-02 2.009852206973081690e-06
2.058000000000000028e-10 7.812454514755720614e-02 2.491963190594646470e-06
2.059000000000000076e-10 7.559085063434313467e-02 1.824386307828976578e-06
2.063000000000000010e-10 7.548078863031985886e-02 1.049827833148030812e-06
2.065999999999999897e-10 7.539994856646746457e-02 1.639410946246652637e-06
2.071999999999999928e-10 7.547427582705955318e-02 3.103666016667852443e-06
2.074000000000000024e-10 7.547696223313825337e-02 5.604584716726050091e-06
2.101000000000000034e-10 7.548289114248736553e-02 3.697786327113214044e-06
2.104999999999999969e-10 7.564223432268490921e-02 2.003446728859418103e-06
2.109999999999999952e-10 7.817194018874516759e-02 4.789878072519416010e-07
2.109999999999999952e-10 7.804266315113143893e-02 1.219802996803507120e-06
2.113000000000000096e-10 7.800260822059640331e-02 1.663091686638295997e-06
2.113000000000000096e-10 7.798502675170052023e-02 2.297253341641563986e-06
2.119000000000000127e-10 7.792864253583653422e-02 4.035098035336044533e-06
2.124000000000000110e-10 8.058725030786166588e-02 5.163046155893196436e-06
2.133000000000000027e-10 8.333769413458728958e-02 4.476406775696769032e-06
2.142999999999999993e-10 8.347254318686384011e-02 6.262403946589748470e-06
2.146999999999999927e-10 8.333788261902150274e-02 4.471926239961774900e-06
2.149000000000000024e-10 8.325849338418442325e-02 2.487210843865994768e-06
2.163999999999999972e-10 8.345743712252236268e-02 2.447218805138126906e-06
2.172000000000000099e-10 8.342015051980901374e-02 3.858914439677485736e-06
2.172999999999999889e-10 8.615448776205832104e-02 2.342599374503783729e-06
2.174999999999999986e-10 8.638097644571630929e-02 3.751339187243721384e-06
2.183000000000000113e-10 8.602336067796478858e-02 4.669273978652046564e-06
2.188000000000000096e-10 8.610053691245546370e-02 4.802519937629549591e-06
2.189999999999999934e-10 8.589422631156144738e-02 4.218825618226440413e-06
2.192000000000000030e-10 8.605419718549847663e-02 3.854868387422195023e-06
2.197000000000000013e-10 8.589416634730751010e-02 4.218726843066822443e-06
2.217999999999999992e-10 8.589412192453459161e-02 4.086811588315432200e-06
2.224000000000000023e-10 8.597923901669170255e-02 4.598649567532941509e-06
2.247000000000000099e-10 8.865947979172725257e-02 3.369727813022822979e-06
2.260999999999999999e-10 8.875652668810087020e-02 4.878318288706004298e-06
2.265999999999999981e-10 8.856764792214462390e-02 3.466652673771396232e-06
2.268000000000000078e-10 8.850737839836773924e-02 2.507274032583562865e-06
2.273000000000000061e-10 8.856764788814597278e-02 3.466652673771396232e-06
2.274999999999999899e-10 8.862794689043577978e-02 5.110990857647882836e-06
2.286999999999999961e-10 8.869055277132358028e-02 8.771267298403969439e-06
2.289000000000000057e-10 8.862788038418621672e-02 5.110208470431352613e-06
2.296999999999999926e-10 8.856555393985783564e-02 3.434058424401466758e-06
2.297999999999999974e-10 8.860142644181288885e-02 2.449256463407671171e-06
2.302999999999999957e-10 8.860595702731671741e-02 2.546341275519117683e-06
2.304000000000000005e-10 8.868540778627456711e-02 3.189102315456714788e-06
2.307999999999999940e-10 9.145723267392988354e-02 2.501476272426644149e-06
2.316000000000000067e-10 9.153282938367360289e-02 1.961035357645471063e-06
2.341999999999999771e-10 9.136537782744146019e-02 1.639401914540174600e-06
2.343000000000000077e-10 9.122307344834913734e-02 1.882992743141147082e-06
2.345999999999999964e-10 9.136537764059390887e-02 1.639406483611846032e-06
2.355000000000000139e-10 9.153311540389297285e-02 1.825966362350116751e-06
2.358000000000000026e-10 9.123540921132088088e-02 1.631400431053160567e-06
2.360000000000000122e-10 9.151065511195308200e-02 1.807955034672129150e-06
2.365000000000000105e-10 9.157535548338628650e-02 2.485619049313134035e-06
2.382999999999999939e-10 9.423493491837255098e-02 1.233255529419461569e-06
2.385000000000000036e-10 9.440529641871249489e-02 2.897806474379775269e-06
2.394000000000000212e-10 9.423477231333361737e-02 1.233814166861171071e-06
2.404000000000000177e-10 9.381090633819512414e-02 2.134360058866536735e-06
2.409000000000000160e-10 9.383964770858768678e-02 2.629389328896457332e-06
2.414999999999999932e-10 9.392134429257142925e-02 3.111025894768972151e-06
2.422000000000000011e-10 9.656460293990913601e-02 2.344804129227006976e-06
2.422999999999999801e-10 9.674041513663815539e-02 2.890296780363289314e-06
2.424000000000000108e-10 9.656470064327650482e-02 2.344804129227006976e-06
2.426999999999999994e-10 9.676947892353765512e-02 2.926937697685340009e-06
2.432999999999999767e-10 9.675578628564898698e-02 2.902813405644931523e-06
2.448000000000000232e-10 9.676947842823070689e-02 2.926894603731630526e-06
2.449999999999999811e-10 9.660531504978281392e-02 2.934773736771017524e-06
2.454999999999999794e-10 9.674802295642223604e-02 3.076194850059625650e-06
2.459999999999999777e-10 9.679971304105003393e-02 4.261384063586688769e-06
2.466000000000000066e-10 9.674757841330870745e-02 3.072367716180807020e-06
2.468000000000000163e-10 9.679971413429779015e-02 4.261214240408241029e-06
2.503999999999999832e-10 9.680052542775205437e-02 3.280521836066944176e-06
2.508000000000000025e-10 9.676148284848556935e-02 4.097525679902516809e-06
2.508999999999999814e-10 9.676190169948933884e-02 3.116004593275256844e-06
2.510000000000000121e-10 9.658976072832009541e-02 2.767138673203311351e-06
2.537000000000000131e-10 9.651643390582569093e-02 3.546693807006859216e-06
2.542000000000000114e-10 9.675782768882705553e-02 4.588590660243909061e-06
2.542999999999999904e-10 9.675788082315046890e-02 4.852682707901073848e-06
2.544000000000000211e-10 9.660666424291806942e-02 4.345659950644711870e-06
2.552000000000000080e-10 9.673308284606395302e-02 3.952066098123509558e-06
2.552999999999999869e-10 9.676390053180322637e-02 3.858532877743019977e-06
2.554999999999999966e-10 9.674416492695515901e-02 4.745452166345874093e-06
2.569999999999999914e-10 9.663362750353683694e-02 5.561071625652969108e-06
2.586000000000000169e-10 9.674416422050589881e-02 4.745410834429107356e-06
2.596000000000000134e-10 9.675121257292063071e-02 5.530464581628334102e-06
2.604000000000000003e-10 9.710838764367028808e-02 6.037784478072842130e-06
